id,title,base,gregorian_year,gregorian_month,gregorian_day,gregorian_day_title,jalali_year,jalali_month,jalali_day,jalali_day_title,hijri_year,hijri_month,hijri_day,hijri_day_title,is_holiday,date_string,object_name
1,جشن نوروز/جشن سال نو,0,2016,3,20,Sunday,1395,1,1,یکشنبه,1437,6,10,الأحد,True,۱ فروردین,event
271,روز جهانی شادی,1,2016,3,20,Sunday,1395,1,1,یکشنبه,1437,6,10,الأحد,False,March 20,event
2,عیدنوروز,0,2016,3,21,Monday,1395,1,2,دوشنبه,1437,6,11,الاثنین,True,۲ فروردین,event
3,عیدنوروز,0,2016,3,22,Tuesday,1395,1,3,سه شنبه,1437,6,12,الثلاثاء,True,۳ فروردین,event
4,عیدنوروز,0,2016,3,23,Wednesday,1395,1,4,چهارشنبه,1437,6,13,الأربعاء,True,۴ فروردین,event
945,روز جهانی هواشناسی,1,2016,3,23,Wednesday,1395,1,4,چهارشنبه,1437,6,13,الأربعاء,False,March 23,event
5,روز امید، روز شادباش نویسی,0,2016,3,25,Friday,1395,1,6,جمعه,1437,6,15,الجمعة,False,۶ فروردین,event
205,زادروز آشو زرتشت، اَبَراِنسان بزرگ تاریخ,0,2016,3,25,Friday,1395,1,6,جمعه,1437,6,15,الجمعة,False,۶ فروردین,event
242,روز جهانی تئاتر,1,2016,3,27,Sunday,1395,1,8,یکشنبه,1437,6,17,الأحد,False,March 27,event
6,جشن آبانگاه,0,2016,3,29,Tuesday,1395,1,10,سه شنبه,1437,6,19,الثلاثاء,False,۱۰ فروردین,event
158,ولادت حضرت فاطمه زهرا سلام الله علیها و روز مادر,2,2016,3,30,Wednesday,1395,1,11,چهارشنبه,1437,6,20,الأربعاء,False,۲۰ جمادی الثانیه,event
7,روز جمهوری اسلامی,0,2016,3,31,Thursday,1395,1,12,پنج شنبه,1437,6,21,الخمیس,True,۱۲ فروردین,event
8,جشن سیزده به در,0,2016,4,1,Friday,1395,1,13,جمعه,1437,6,22,الجمعة,True,۱۳ فروردین,event
9,سروش روز،جشن سروشگان,0,2016,4,5,Tuesday,1395,1,17,سه شنبه,1437,6,26,الثلاثاء,False,۱۷ فروردین,event
10,روز جهانی بهداشت,1,2016,4,7,Thursday,1395,1,19,پنج شنبه,1437,6,28,الخمیس,False,April 7,event
11,فروردین روز،جشن فروردینگان,0,2016,4,7,Thursday,1395,1,19,پنج شنبه,1437,6,28,الخمیس,False,۱۹ فروردین,event
159,ولادت  امام محمد باقر علیه السلام,2,2016,4,9,Saturday,1395,1,21,شنبه,1437,7,1,السبت,False,۱ رجب,event
160,شهادت امام علی النقی الهادی علیه السلام,2,2016,4,11,Monday,1395,1,23,دوشنبه,1437,7,3,الاثنین,False,۳ رجب,event
272,روز دندانپزشک,0,2016,4,11,Monday,1395,1,23,دوشنبه,1437,7,3,الاثنین,False,۲۳ فروردین,event
12,روز بزرگداشت عطار نیشابوری,0,2016,4,13,Wednesday,1395,1,25,چهارشنبه,1437,7,5,الأربعاء,False,۲۵ فروردین,event
13,روز ارتش جمهوری اسلامی ایران,0,2016,4,17,Sunday,1395,1,29,یکشنبه,1437,7,9,الأحد,False,۲۹ فروردین,event
161,ولادت امام محمد تقی علیه السلام,2,2016,4,18,Monday,1395,1,30,دوشنبه,1437,7,10,الاثنین,False,۱۰ رجب,event
273,روز علوم آزمایشگاهی، زاد روز حکیم سید اسماعیل جرجانی,0,2016,4,18,Monday,1395,1,30,دوشنبه,1437,7,10,الاثنین,False,۳۰ فروردین,event
14,روز بزرگداشت سعدی,0,2016,4,20,Wednesday,1395,2,1,چهارشنبه,1437,7,12,الأربعاء,False,۱ اردیبهشت,event
162,ولادت امام علی علیه السلام و روز پدر,2,2016,4,21,Thursday,1395,2,2,پنج شنبه,1437,7,13,الخمیس,True,۱۳ رجب,event
15,جشن گیاه آوری؛ روز زمین,1,2016,4,22,Friday,1395,2,3,جمعه,1437,7,14,الجمعة,False,April 22,event
16,روزبزرگداشت شیخ بهایی؛ روزملی کارآفرینی؛ روز معماری,0,2016,4,22,Friday,1395,2,3,جمعه,1437,7,14,الجمعة,False,۳ اردیبهشت,event
163,وفات حضرت زینب سلام الله علیها,2,2016,4,23,Saturday,1395,2,4,شنبه,1437,7,15,السبت,False,۱۵ رجب,event
946,روز جهانی طراحی و گرافیک,1,2016,4,27,Wednesday,1395,2,8,چهارشنبه,1437,7,19,الأربعاء,False,April 27,event
243,روز ملی روانشناس و مشاور,0,2016,4,28,Thursday,1395,2,9,پنج شنبه,1437,7,20,الخمیس,False,۹ اردیبهشت,event
